"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"18:11:37,4977396","pacman.exe","25220","ReadFile","C:\msys64\usr\share\locale\locale.alias","END OF FILE","Offset: 3.116, Length: 65.536"
"18:11:37,4977507","pacman.exe","25220","CloseFile","C:\msys64\usr\share\locale\locale.alias","SUCCESS",""
"18:11:37,4978385","pacman.exe","25220","Load Image","C:\Windows\System32\ws2_32.dll","SUCCESS","Image Base: 0x7ffd920d0000, Image Size: 0x6c000"
"18:11:37,4980206","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\d0f1a5c6-fc43-48ae-99bf-efb1c38be9d1","NAME NOT FOUND","Length: 524"
"18:11:37,4980682","pacman.exe","25220","QueryNameInformationFile","C:\Windows\System32\ws2_32.dll","SUCCESS","Name: \Windows\System32\ws2_32.dll"
"18:11:37,4981075","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,4981162","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","REPARSE","Desired Access: All Access"
"18:11:37,4981261","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","ACCESS DENIED","Desired Access: All Access"
"18:11:37,4981394","pacman.exe","25220","QuerySecurityFile","C:\msys64\usr\bin\pacman.exe","BUFFER OVERFLOW","Information: Owner"
"18:11:37,4981477","pacman.exe","25220","QuerySecurityFile","C:\msys64\usr\bin\pacman.exe","SUCCESS","Information: Owner"
"18:11:37,4981604","pacman.exe","25220","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,4981659","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","REPARSE","Desired Access: Read"
"18:11:37,4981737","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","SUCCESS","Desired Access: Read"
"18:11:37,4981873","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\WinSock_Registry_Version","SUCCESS","Type: REG_SZ, Length: 8, Data: 2.0"
"18:11:37,4982405","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\WinSock_Registry_Version","SUCCESS","Type: REG_SZ, Length: 8, Data: 2.0"
"18:11:37,4982538","pacman.exe","25220","RegQueryKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,4982593","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\AppId_Catalog","SUCCESS","Desired Access: Read"
"18:11:37,4982757","pacman.exe","25220","RegQueryKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\AppId_Catalog","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,4982803","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\AppId_Catalog\323FE9A6","NAME NOT FOUND","Desired Access: Read"
"18:11:37,4982899","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\AppId_Catalog","SUCCESS",""
"18:11:37,4982989","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Callout","SUCCESS","Type: REG_EXPAND_SZ, Length: 70, Data: %SystemRoot%\System32\fwpuclnt.dll"
"18:11:37,4983490","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\NameSpace_Callout","SUCCESS","Type: REG_EXPAND_SZ, Length: 70, Data: %SystemRoot%\System32\fwpuclnt.dll"
"18:11:37,4983681","pacman.exe","25220","RegQueryKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"18:11:37,4983753","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\Protocol_Catalog9","SUCCESS","Desired Access: Maximum Allowed, Granted Access: Read"
"18:11:37,4983855","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\Protocol_Catalog9\Serial_Access_Num","SUCCESS","Type: REG_DWORD, Length: 4, Data: 11"
"18:11:37,4984665","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Services\WinSock2\Parameters\Protocol_Catalog9\Serial_Access_Num","SUCCESS","Type: REG_DWORD, Length: 4, Data: 11"
