"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"18:11:37,4666062","pacman.exe","25220","Process Start","","SUCCESS","Parent PID: 12888, Command line: pacman, Current directory: C:\Users\Zingus\Dropbox\Software\Windows Utilities\Crysis Pseudo-Fullscreen Nanny\, Environment: ;	=::=::\;	=C:=C:\Users\Zingus\Dropbox\Software\Windows Utilities\Crysis Pseudo-Fullscreen Nanny;	=ExitCode=00000001;	ALLUSERSPROFILE=C:\ProgramData;	ANSICON=87x1000 (87x42);	ANSICON_DEF=27;	APPDATA=C:\Users\Zingus\AppData\Roaming;	ChocolateyInstall=C:\ProgramData\chocolatey;	ChocolateyLastPathUpdate=mer nov 22 04:54:21 2017;	CommonProgramFiles=C:\Program Files\Common Files;	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files;	CommonProgramW6432=C:\Program Files\Common Files;	COMPUTERNAME=RESIDUATO;	ComSpec=C:\WINDOWS\system32\cmd.exe;	ConEmuANSI=ON;	ConEmuAnsiLog=;	ConEmuArgs=;	ConEmuArgs2=;	ConEmuBackHWND=0x000C0E3E;	ConEmuBaseDir=C:\Program Files\ConEmu\ConEmu;	ConEmuBaseDirShort=C:\PROGRA~1\ConEmu\ConEmu;	ConEmuBuild=170807;	ConEmuCfgDir=C:\Users\Zingus\AppData\Roaming;	ConEmuConfig=;	ConEmuDir=C:\Program Files\ConEmu;	ConEmuDrawHWND=0x00060E7A;	ConEmuDrive=C:;	ConEmuHooks=Enabled;	ConEmuHWND=0x003804F6;	ConEmuPalette=Zingus;	ConEmuPID=33252;	ConEmuServerPID=30648;	ConEmuTask={CMD};	ConEmuWorkDir=C:\Users\Zingus\Desktop;	ConEmuWorkDrive=C:;	FPS_BROWSER_APP_PROFILE_STRING=Internet Explorer;	FPS_BROWSER_USER_PROFILE_STRING=Default;	GOROOT=C:\Go\;	HOMEDRIVE=C:;	HOMEPATH=\Users\Zingus;	LANG=en;	LOCALAPPDATA=C:\Users\Zingus\AppData\Local;	LOGONSERVER=\\RESIDUATO;	LUA_CPATH=C:\Program Files\Csound6_x64\bin\?.dll;	LUA_PATH=C:\Program Files\Csound6_x64\examples\lua\?.lua;	NODE_PATH=C:\Program Files\Csound6_x64\bin\;;	NUMBER_OF_PROCESSORS=4;	OneDrive=C:\Users\Zingus\OneDrive;	OPCODE6DIR64=C:\Program Files\Csound6_x64\plugins64\;	OS=Windows_NT;	Path=C:\msys64\usr\bin;C:\Program Files\ConEmu\ConEmu\Scripts;C:\Program Files\ConEmu;C:\Program Files\ConEmu\ConEmu;C:\Program Files\ImageMagick-7.0.7-Q16;C:\Tools;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Go\bin;C:\Program Files (x86)\Calibre2\;C:\Program Files\Csound6_x64\bin;C:\php;C:\ProgramData\ComposerSetup\bin;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Program Files\nodejs\;C:\ProgramData\chocolatey\bin;;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Yarn\bin;C:\Users\Zingus\.cargo\bin;C:\Users\Zingus\AppData\Local\Microsoft\WindowsApps;C:\Program Files (x86)\Nmap;C:\Users\Zingus\AppData\Roaming\Composer\vendor\bin;C:\Users\Zingus\AppData\Roaming\npm;C:\Users\Zingus\AppData\Local\Yarn\bin;	PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;	PROCESSOR_ARCHITECTURE=AMD64;	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 94 Stepping 3, GenuineIntel;	PROCESSOR_LEVEL=6;	PROCESSOR_REVISION=5e03;	ProgramData=C:\ProgramData;	ProgramFiles=C:\Program Files;	ProgramFiles(x86)=C:\Program Files (x86);	ProgramW6432=C:\Program Files;	PROMPT=$P$G;	PSModulePath=C:\Program Files\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules;	PUBLIC=C:\Users\Public;	PYTHONPATH=C:\Program Files\Csound6_x64\bin\;;	RAWWAVE_PATH=C:\Program Files\Csound6_x64\samples\;	SESSIONNAME=Console;	SystemDrive=C:;	SystemRoot=C:\WINDOWS;	TEMP=C:\Users\Zingus\AppData\Local\Temp;	TMP=C:\Users\Zingus\AppData\Local\Temp;	USERDOMAIN=RESIDUATO;	USERDOMAIN_ROAMINGPROFILE=RESIDUATO;	USERNAME=Zingus;	USERPROFILE=C:\Users\Zingus;	VS140COMNTOOLS=C:\Program Files (x86)\Microsoft Visual Studio 14.0\Common7\Tools\;	windir=C:\WINDOWS"
"18:11:37,4666115","pacman.exe","25220","Thread Create","","SUCCESS","Thread ID: 1212"
"18:11:37,4680928","pacman.exe","25220","Load Image","C:\msys64\usr\bin\pacman.exe","SUCCESS","Image Base: 0x10000, Image Size: 0x76c000"
"18:11:37,4681333","pacman.exe","25220","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x7ffd936f0000, Image Size: 0x1e0000"
"18:11:37,4682681","pacman.exe","25220","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"18:11:37,4682795","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"18:11:37,4683179","pacman.exe","25220","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"18:11:37,4683237","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"18:11:37,4683321","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"18:11:37,4683395","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"18:11:37,4692794","pacman.exe","25220","CreateFile","C:\Users\Zingus\Dropbox\Software\Windows Utilities\Crysis Pseudo-Fullscreen Nanny","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4693746","pacman.exe","25220","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x7ffd92c00000, Image Size: 0xae000"
"18:11:37,4694686","pacman.exe","25220","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x7ffd90850000, Image Size: 0x266000"
"18:11:37,4701420","pacman.exe","25220","QueryNameInformationFile","C:\Windows\System32\KernelBase.dll","SUCCESS","Name: \Windows\System32\KernelBase.dll"
"18:11:37,4701776","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\3c74afb9-8d82-44e3-b52c-365dbf48382a","NAME NOT FOUND","Length: 524"
"18:11:37,4702230","pacman.exe","25220","QueryNameInformationFile","C:\Windows\System32\KernelBase.dll","SUCCESS","Name: \Windows\System32\KernelBase.dll"
"18:11:37,4702484","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\WMI\Security\05f95efe-7f75-49c7-a994-60a55cc09571","NAME NOT FOUND","Length: 524"
"18:11:37,4702697","pacman.exe","25220","QueryNameInformationFile","C:\Windows\System32\KernelBase.dll","SUCCESS","Name: \Windows\System32\KernelBase.dll"
"18:11:37,4703798","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"18:11:37,4703890","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"18:11:37,4703965","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"18:11:37,4704014","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"18:11:37,4704082","pacman.exe","25220","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"18:11:37,4704193","pacman.exe","25220","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"18:11:37,4704268","pacman.exe","25220","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"18:11:37,4704360","pacman.exe","25220","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"18:11:37,4704540","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"18:11:37,4704589","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"18:11:37,4704648","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"18:11:37,4704704","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"18:11:37,4705300","pacman.exe","25220","Thread Create","","SUCCESS","Thread ID: 33520"
"18:11:37,4705464","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"18:11:37,4705526","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"18:11:37,4705597","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode","NAME NOT FOUND","Length: 16"
"18:11:37,4707347","pacman.exe","25220","CreateFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4707505","pacman.exe","25220","QueryBasicInformationFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","CreationTime: 25/10/2016 09:32:12, LastAccessTime: 25/10/2016 09:32:11, LastWriteTime: 07/09/2016 18:53:01, ChangeTime: 02/10/2017 02:15:17, FileAttributes: A"
"18:11:37,4707576","pacman.exe","25220","CloseFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS",""
"18:11:37,4708250","pacman.exe","25220","CreateFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4708837","pacman.exe","25220","CreateFileMapping","C:\msys64\usr\bin\msys-2.0.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,4709010","pacman.exe","25220","CreateFileMapping","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,4709394","pacman.exe","25220","Load Image","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","Image Base: 0x3060000, Image Size: 0x5c0000"
"18:11:37,4709644","pacman.exe","25220","CloseFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS",""
"18:11:37,4711218","pacman.exe","25220","CreateFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4711369","pacman.exe","25220","QueryBasicInformationFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","CreationTime: 25/10/2016 09:32:12, LastAccessTime: 25/10/2016 09:32:11, LastWriteTime: 07/09/2016 18:53:01, ChangeTime: 02/10/2017 02:15:17, FileAttributes: A"
"18:11:37,4711441","pacman.exe","25220","CloseFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS",""
"18:11:37,4712099","pacman.exe","25220","CreateFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4712374","pacman.exe","25220","CreateFileMapping","C:\msys64\usr\bin\msys-2.0.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,4712523","pacman.exe","25220","CreateFileMapping","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,4712903","pacman.exe","25220","Load Image","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS","Image Base: 0x3060000, Image Size: 0x5c0000"
"18:11:37,4716069","pacman.exe","25220","Thread Create","","SUCCESS","Thread ID: 35732"
"18:11:37,4716270","pacman.exe","25220","CloseFile","C:\msys64\usr\bin\msys-2.0.dll","SUCCESS",""
"18:11:37,4735841","pacman.exe","25220","Thread Create","","SUCCESS","Thread ID: 30628"
"18:11:37,4738472","pacman.exe","25220","CreateFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4738654","pacman.exe","25220","QueryBasicInformationFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","CreationTime: 08/08/2017 12:33:26, LastAccessTime: 03/10/2017 02:48:34, LastWriteTime: 08/08/2017 12:33:26, ChangeTime: 03/10/2017 02:48:34, FileAttributes: A"
"18:11:37,4738738","pacman.exe","25220","CloseFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS",""
"18:11:37,4739446","pacman.exe","25220","CreateFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4739771","pacman.exe","25220","CreateFileMapping","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,4739934","pacman.exe","25220","CreateFileMapping","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,4740361","pacman.exe","25220","Load Image","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","Image Base: 0x2c20000, Image Size: 0x64000"
"18:11:37,4740522","pacman.exe","25220","CloseFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS",""
"18:11:37,4741827","pacman.exe","25220","CreateFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4742204","pacman.exe","25220","QueryBasicInformationFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","CreationTime: 08/08/2017 12:33:26, LastAccessTime: 03/10/2017 02:48:34, LastWriteTime: 08/08/2017 12:33:26, ChangeTime: 03/10/2017 02:48:34, FileAttributes: A"
"18:11:37,4742284","pacman.exe","25220","CloseFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS",""
"18:11:37,4742983","pacman.exe","25220","CreateFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4744847","pacman.exe","25220","CreateFileMapping","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,4745150","pacman.exe","25220","CreateFileMapping","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,4745589","pacman.exe","25220","Load Image","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","Image Base: 0x2c20000, Image Size: 0x64000"
"18:11:37,4747083","pacman.exe","25220","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"18:11:37,4747274","pacman.exe","25220","RegOpenKey","HKCU\Control Panel\Desktop\MuiCached\MachineLanguageConfiguration","NAME NOT FOUND","Desired Access: Read"
"18:11:37,4747457","pacman.exe","25220","RegCloseKey","HKCU","SUCCESS",""
"18:11:37,4747525","pacman.exe","25220","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"18:11:37,4747670","pacman.exe","25220","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"18:11:37,4747744","pacman.exe","25220","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"18:11:37,4747862","pacman.exe","25220","RegOpenKey","HKCU\Control Panel\Desktop\LanguageConfiguration","SUCCESS","Desired Access: Read"
"18:11:37,4747967","pacman.exe","25220","RegEnumValue","HKCU\Control Panel\Desktop\LanguageConfiguration","NO MORE ENTRIES","Index: 0, Length: 512"
"18:11:37,4748044","pacman.exe","25220","RegCloseKey","HKCU\Control Panel\Desktop\LanguageConfiguration","SUCCESS",""
"18:11:37,4748097","pacman.exe","25220","RegCloseKey","HKCU","SUCCESS",""
"18:11:37,4748177","pacman.exe","25220","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"18:11:37,4748254","pacman.exe","25220","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"18:11:37,4748326","pacman.exe","25220","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"18:11:37,4748390","pacman.exe","25220","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"18:11:37,4748465","pacman.exe","25220","RegQueryValue","HKCU\Control Panel\Desktop\PreferredUILanguages","BUFFER OVERFLOW","Length: 12"
"18:11:37,4748545","pacman.exe","25220","RegQueryValue","HKCU\Control Panel\Desktop\PreferredUILanguages","SUCCESS","Type: REG_MULTI_SZ, Length: 12, Data: en-US"
"18:11:37,4748635","pacman.exe","25220","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
"18:11:37,4748687","pacman.exe","25220","RegCloseKey","HKCU","SUCCESS",""
"18:11:37,4748740","pacman.exe","25220","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"18:11:37,4748820","pacman.exe","25220","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"18:11:37,4748885","pacman.exe","25220","RegOpenKey","HKCU\Control Panel\Desktop\MuiCached","SUCCESS","Desired Access: Read"
"18:11:37,4748959","pacman.exe","25220","RegQueryValue","HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages","BUFFER OVERFLOW","Length: 12"
"18:11:37,4749015","pacman.exe","25220","RegQueryValue","HKCU\Control Panel\Desktop\MuiCached\MachinePreferredUILanguages","SUCCESS","Type: REG_MULTI_SZ, Length: 12, Data: en-US"
"18:11:37,4749077","pacman.exe","25220","RegCloseKey","HKCU\Control Panel\Desktop\MuiCached","SUCCESS",""
"18:11:37,4749129","pacman.exe","25220","RegCloseKey","HKCU","SUCCESS",""
"18:11:37,4749528","pacman.exe","25220","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS","Desired Access: Read"
"18:11:37,4749652","pacman.exe","25220","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\PreferExternalManifest","NAME NOT FOUND","Length: 20"
"18:11:37,4749723","pacman.exe","25220","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS",""
"18:11:37,4750604","pacman.exe","25220","CreateFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4750947","pacman.exe","25220","QueryBasicInformationFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS","CreationTime: 08/08/2017 12:33:26, LastAccessTime: 03/10/2017 02:48:34, LastWriteTime: 08/08/2017 12:33:26, ChangeTime: 03/10/2017 02:48:34, FileAttributes: A"
"18:11:37,4751631","pacman.exe","25220","CloseFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS",""
"18:11:37,4752753","pacman.exe","25220","Load Image","C:\Windows\System32\user32.dll","SUCCESS","Image Base: 0x7ffd93530000, Image Size: 0x18f000"
"18:11:37,4753696","pacman.exe","25220","Load Image","C:\Windows\System32\win32u.dll","SUCCESS","Image Base: 0x7ffd90060000, Image Size: 0x20000"
"18:11:37,4754543","pacman.exe","25220","Load Image","C:\Windows\System32\gdi32.dll","SUCCESS","Image Base: 0x7ffd92d30000, Image Size: 0x28000"
"18:11:37,4755316","pacman.exe","25220","Load Image","C:\Windows\System32\gdi32full.dll","SUCCESS","Image Base: 0x7ffd8fc50000, Image Size: 0x193000"
"18:11:37,4755999","pacman.exe","25220","Load Image","C:\Windows\System32\msvcp_win.dll","SUCCESS","Image Base: 0x7ffd8ffc0000, Image Size: 0x9b000"
"18:11:37,4756658","pacman.exe","25220","Load Image","C:\Windows\System32\ucrtbase.dll","SUCCESS","Image Base: 0x7ffd8fb50000, Image Size: 0xf6000"
"18:11:37,4758219","pacman.exe","25220","CloseFile","C:\Program Files\ConEmu\ConEmu\ConEmuHk64.dll","SUCCESS",""
"18:11:37,4763760","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","REPARSE","Desired Access: Read"
"18:11:37,4763955","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions","SUCCESS","Desired Access: Read"
"18:11:37,4764115","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\Sorting\Versions\(Default)","SUCCESS","Type: REG_SZ, Length: 18, Data: 0006020E"
"18:11:37,4764656","pacman.exe","25220","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"18:11:37,4764737","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"18:11:37,4764820","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"18:11:37,4764919","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"18:11:37,4768685","pacman.exe","25220","CreateFile","C:\Windows\System32\imm32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4768948","pacman.exe","25220","QueryBasicInformationFile","C:\Windows\System32\imm32.dll","SUCCESS","CreationTime: 29/09/2017 14:41:45, LastAccessTime: 29/09/2017 14:41:45, LastWriteTime: 29/09/2017 14:41:45, ChangeTime: 27/11/2017 06:15:10, FileAttributes: A"
"18:11:37,4769034","pacman.exe","25220","CloseFile","C:\Windows\System32\imm32.dll","SUCCESS",""
"18:11:37,4769798","pacman.exe","25220","CreateFile","C:\Windows\System32\imm32.dll","SUCCESS","Desired Access: Read Data/List Directory, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"18:11:37,4770942","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\imm32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READ"
"18:11:37,4771066","pacman.exe","25220","QueryStandardInformationFile","C:\Windows\System32\imm32.dll","SUCCESS","AllocationSize: 176.128, EndOfFile: 173.640, NumberOfLinks: 2, DeletePending: False, Directory: False"
"18:11:37,4771279","pacman.exe","25220","CreateFileMapping","C:\Windows\System32\imm32.dll","SUCCESS","SyncType: SyncTypeOther"
"18:11:37,4771604","pacman.exe","25220","CloseFile","C:\Windows\System32\imm32.dll","SUCCESS",""
"18:11:37,4772389","pacman.exe","25220","Load Image","C:\Windows\System32\imm32.dll","SUCCESS","Image Base: 0x7ffd93460000, Image Size: 0x2d000"
"18:11:37,4773496","pacman.exe","25220","Load Image","C:\Windows\System32\combase.dll","SUCCESS","Image Base: 0x7ffd928f0000, Image Size: 0x308000"
"18:11:37,4774365","pacman.exe","25220","Load Image","C:\Windows\System32\rpcrt4.dll","SUCCESS","Image Base: 0x7ffd92450000, Image Size: 0x11f000"
"18:11:37,4775422","pacman.exe","25220","Load Image","C:\Windows\System32\bcryptprimitives.dll","SUCCESS","Image Base: 0x7ffd907d0000, Image Size: 0x72000"
"18:11:37,4777868","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","REPARSE","Desired Access: Query Value"
"18:11:37,4777991","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS","Desired Access: Query Value"
"18:11:37,4778158","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\Enabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"18:11:37,4778273","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","REPARSE","Desired Access: Query Value"
"18:11:37,4778356","pacman.exe","25220","RegOpenKey","HKLM\System\CurrentControlSet\Control\Lsa","SUCCESS","Desired Access: Query Value"
"18:11:37,4778440","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","NAME NOT FOUND","Length: 20"
"18:11:37,4778514","pacman.exe","25220","RegQueryValue","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy\MDMEnabled","NAME NOT FOUND","Length: 20"
"18:11:37,4778588","pacman.exe","25220","RegCloseKey","HKLM\System\CurrentControlSet\Control\Lsa\FipsAlgorithmPolicy","SUCCESS",""
